Node_name_1;Node_name_2;Node_name_3;Node_name_4;Article_ID_List;Node_number_1;Node_number_2;Node_number_3;Node_number_4
['power'];['electr'];['price'];['carbon'];[5, 32, 39, 751, 2656];2;7;19;35
['power'];['electr'];['price'];['bau'];[2560, 2561, 2619];2;7;19;36
['power'];['electr'];['electr'];['electr'];[16, 24, 27, 119, 139, 271, 273, 285, 831, 853, 966, 1066, 1073, 1101, 1110, 1120, 1121, 1124, 1186, 1211, 1328, 1384, 1499, 1624, 1869, 1876, 1897, 1934, 2035, 2156, 2161, 2171, 2189, 2192, 2388, 2395, 2401, 2407, 2416, 2417, 2460, 2478, 2536, 2728, 2780, 2874];2;7;20;37
['power'];['electr'];['electr'];['electr'];[181, 257, 259, 267, 269, 286, 516, 586, 665, 1030, 1032, 1047, 1111, 1113, 1155, 1165, 1210, 1411, 1429, 1501, 1542, 1569, 1643, 1658, 1675, 1714, 1827, 1878, 1921, 1980, 2112, 2182, 2196, 2259, 2269, 2333, 2345, 2370, 2396, 2398, 2422, 2456, 2574, 2703, 2788, 2864];2;7;20;38
['power'];['electr'];['cost'];['system'];[272, 365, 1074, 1081, 1098, 1145, 1189, 1257, 1259, 1289, 1295, 1310, 1312, 1354, 1367, 1368, 1369, 1462, 1489, 1492, 1497, 1510, 1511, 1543, 1601, 1611, 1614, 1721, 2290, 2405, 2418, 2450, 2695, 2747, 2860];2;7;21;39
['power'];['electr'];['cost'];['cost'];[28, 629, 1008, 1060, 1325, 1518, 1539, 1639, 1708, 2098, 2231, 2260, 2503, 2596, 2765, 2798, 2858];2;7;21;40
['power'];['renew'];['system'];['strategi'];[337, 1742, 2291];2;8;22;41
['power'];['renew'];['system'];['decarbonis'];[1277, 1329, 1450, 1451, 1632, 2403];2;8;22;42
['power'];['renew'];['system'];['cost'];[888, 1590, 2276, 2641];2;8;22;43
['power'];['renew'];['system'];['indc'];[570, 1951, 2532];2;8;22;44
['power'];['renew'];['system'];['examin'];[105, 1860];2;8;22;45
['power'];['renew'];['renew'];['renew'];[89, 101, 582, 760, 771, 881, 917, 1114, 1454, 1585, 1592, 1629, 1634, 1702, 1785, 1804, 1832, 1844, 2032, 2038, 2092, 2109, 2117, 2413, 2458, 2569, 2625, 2748, 2794, 2885];2;8;23;46
['power'];['renew'];['renew'];['cost'];[280, 1096, 1172, 1835, 1930, 2247, 2348, 2595, 2613, 2691, 2869, 2884];2;8;23;47
['power'];['renew'];['wind'];['grid'];[1457, 1865];2;8;24;48
